# time(fs)   RMSD(Ang)   MSD(Ang^2)
3.910000000000000000e+04 4.750703191946166193e+00 2.256918081796749220e+01
3.920000000000000000e+04 4.774567347407892015e+00 2.279649335493363793e+01
3.930000000000000000e+04 4.782880626648641886e+00 2.287594708877090355e+01
3.940000000000000000e+04 4.838544390843250831e+00 2.341151182216068705e+01
3.950000000000000000e+04 4.747329343744003616e+00 2.253713589797287398e+01
3.960000000000000000e+04 4.682199101543194075e+00 2.192298842649189794e+01
3.970000000000000000e+04 4.643002675123936385e+00 2.155747384120802934e+01
3.980000000000000000e+04 4.618735588668703151e+00 2.133271843803483492e+01
3.990000000000000000e+04 4.634549802812381714e+00 2.147905187474828992e+01
4.000000000000000000e+04 4.698436327696714265e+00 2.207530392542018660e+01
4.010000000000000000e+04 4.650680834376039741e+00 2.162883222323261734e+01
4.020000000000000000e+04 4.664421072190556572e+00 2.175682393869530173e+01
4.030000000000000000e+04 4.680409291264946425e+00 2.190623113375924191e+01
4.040000000000000000e+04 4.709238371114338406e+00 2.217692603597562595e+01
4.050000000000000000e+04 4.714087908042952968e+00 2.222262480475678714e+01
4.060000000000000000e+04 4.681618137102754318e+00 2.191754838164946406e+01
